800 Hilos 1 Core,800 Hilos 2 Cores,800 Hilos 4 Cores,800 Hilos 8 Cores,,1000 Hilos 1 Core,1000 Hilos 2 Cores,1000 Hilos 4 Cores,1000 Hilos 8 Cores,1200 Hilos 1 Core,1200 Hilos 2 Cores,1200 Hilos 4 Cores,1200 Hilos 8 Cores,1400 Hilos 1 Core,1400 Hilos 2 Cores,1400 Hilos 4 Cores,1400 Hilos 8 Cores,1600 Hilos 1 Core,1600 Hilos 2 Cores,1600 Hilos 4 Cores,1600 Hilos 8 Cores,1800 Hilos 1 Core,1800 Hilos 2 Cores,1800 Hilos 4 Cores,1800 Hilos 8 Cores,2000 Hilos 1 Core,2000 Hilos 2 Cores,2000 Hilos 4 Cores,2000 Hilos 8 Cores,2200 Hilos 1 Core,2200 Hilos 2 Cores,2200 Hilos 4 Cores,2200 Hilos 8 Cores,2400 Hilos 1 Core,2400 Hilos 2 Cores,2400 Hilos 4 Cores,2400 Hilos 8 Cores,2600 Hilos 1 Core,2600 Hilos 2 Cores,2600 Hilos 4 Cores,2600 Hilos 8 Cores,2800 Hilos 1 Core,2800 Hilos 2 Cores,2800 Hilos 4 Cores,2800 Hilos 8 Cores,3000 Hilos 1 Core,3000 Hilos 2 Cores,3000 Hilos 4 Cores,3000 Hilos 8 Cores,3200 Hilos 1 Core,3200 Hilos 2 Cores,3200 Hilos 4 Cores,3200 Hilos 8 Cores
2214149,862412,945167,1009547,,4603293,2239168,1580805,1611594,7632464,4150599,2483357,2146778,12981882,6538760,3979774,3401682,29118351,14731994,7165011,7045454,47083811,24336666,12515819,11065579,64722063,33756665,17779948,15396859,95253914,48373620,24297811,21671982,131882941,62827230,32412223,29039567,164090659,82034606,41416251,37033710,209155495,103897491,50126897,45338075,251944974,132527624,67075835,60961621,353924766,169128779,78405250,73234712
1851807,1691608,1407867,459608,,5066672,2510546,1731683,1795062,7916899,3762636,2341920,1835366,12892454,6945988,3233141,3432137,28947151,14682367,7063849,6619644,47129008,23772282,12332591,10622604,65931690,33573625,17585331,15511863,95318264,48545890,24680505,22436745,132332359,64113664,32376673,29043170,164441291,82315299,41952993,36614189,211105788,103237976,50273677,45111835,250173554,132509193,66829506,60140859,358637792,167232921,78731496,74360565
2493172,1528895,890150,915217,,4598838,2768975,1923995,1920509,7932189,4322674,2061798,2555917,13765612,7399612,3560195,3429183,29635567,14983770,7095636,7187254,47099783,24129600,12076224,11291489,64683311,34058059,17603272,15646849,95288861,48885237,25051135,21986665,133710868,63457443,32326391,28755682,164600433,82691597,41305723,36962299,211217469,104451588,50602809,44073982,252099263,131994110,66505304,60441893,356200882,167564823,80238700,73505497
2164359,1363323,1406568,1369973,,5154168,2988734,2092017,2052190,8782494,3882247,1853392,2354952,13987003,7112149,3730764,3446669,29740273,13994925,7014936,6739464,47326721,23613917,11947474,10577266,65129488,32925884,17375153,15946683,96146447,49039066,24356342,21438693,132300060,63361697,32228315,29422828,164315813,82743599,41598975,36641173,210170317,103692324,50501987,44465746,252808008,133212303,67351025,62236061,355102876,168028043,78498316,75737550
1824366,1205034,897070,836085,,4560383,2331483,1349580,1208525,8300545,4283527,2602148,2116303,12841187,6690584,3857944,3381934,29090079,14077712,7009807,7525169,48707059,23927214,11560012,11013388,65324515,34250514,17305943,15165800,95789378,48477752,24744111,21903351,133487955,63220200,32010061,29483046,164494657,82330586,42088102,36918739,209996673,103971534,50762568,44981467,253745177,133204809,66950648,59253878,355304447,168240072,79092452,73622879
2492700,1046960,1337044,1310420,,5113298,2760054,1517073,1624975,7520016,3769998,2353538,1835821,13915156,7042496,3994295,3427462,29316099,13938559,6967910,7175541,47669433,24563240,12298097,10231886,65276947,33620169,17187513,15279466,96378781,48846293,25093531,22400383,132120732,63254101,31631342,29542569,164795674,82386286,41476353,37026412,211154689,104233450,50942894,44387837,251742731,132028751,66737208,59589955,356089524,171553667,78598746,74646652
2141333,918219,775309,761698,,4547048,2983808,1720244,2304954,7636081,4245706,2090326,2559925,13707439,6443595,3143002,3497641,29357515,14916817,7056129,6740639,47643354,24100704,12776588,10675632,65405118,34591682,16903066,15443648,96084597,49096517,24530554,21951133,131602645,63448235,32230796,29473457,165399216,82311976,41654595,36249754,210497737,103559237,49912094,44869826,253970938,132088629,67296474,61248330,367125117,169610000,78678711,73817582
1797421,1785361,1235076,1212089,,4901906,2271087,1883749,1533200,7982728,3724723,1913990,2243095,13925473,6784096,3274421,3577357,28676679,14854693,7037728,7177982,47681867,23734663,12603945,10861426,65995935,34228203,17769642,15582419,95653123,48455375,24813139,21641619,132559719,63397636,31769172,29228295,165488557,82479178,41910646,37076361,211155652,104291270,49714693,45192674,254766315,130411554,67005017,61199622,353843682,169388352,78583492,73500493
2417920,1652615,690560,685363,,5163516,2502037,2039197,2006638,6731382,4167242,2695698,2012320,14084137,7327577,3506851,3605011,29585182,14948166,7070146,6574795,47714239,24267862,12426158,11399206,65373219,33812117,17533872,15789415,96058705,48960302,25109775,22150876,130832402,63788998,32437885,28941097,166439729,82620398,41565062,36687439,209785275,104802587,50508952,44987457,252932595,131088266,66590115,60004061,355011109,170733934,79051430,74774427
2062490,1489856,1158649,1134505,,4619901,2773456,1166727,1845707,7469265,3571749,2399490,1727932,13219365,6594281,3761759,3665697,28884425,15050613,7003489,6966061,47216863,23911582,12150167,10816266,66595580,34205536,17649816,16080003,95540414,48055904,24467110,21596280,131130962,63547482,32315002,28309564,167252699,82551626,41894194,37294791,211577731,104902061,50581839,44628393,252299863,130908654,67512217,60170719,355879244,169131206,78221059,74264847
