800 Hilos 1 Core,800 Hilos 2 Cores,800 Hilos 4 Cores,800 Hilos 8 Cores,1000 Hilos 1 Core,1000 Hilos 2 Cores,1000 Hilos 4 Cores,1000 Hilos 8 Cores,1200 Hilos 1 Core,1200 Hilos 2 Cores,1200 Hilos 4 Cores,1200 Hilos 8 Cores,1400 Hilos 1 Core,1400 Hilos 2 Cores,1400 Hilos 4 Cores,1400 Hilos 8 Cores,1600 Hilos 1 Core,1600 Hilos 2 Cores,1600 Hilos 4 Cores,1600 Hilos 8 Cores,1800 Hilos 1 Core,1800 Hilos 2 Cores,1800 Hilos 4 Cores,1800 Hilos 8 Cores,2000 Hilos 1 Core,2000 Hilos 2 Cores,2000 Hilos 4 Cores,2000 Hilos 8 Cores,2200 Hilos 1 Core,2200 Hilos 2 Cores,2200 Hilos 4 Cores,2200 Hilos 8 Cores,2400 Hilos 1 Core,2400 Hilos 2 Cores,2400 Hilos 4 Cores,2400 Hilos 8 Cores,2600 Hilos 1 Core,2600 Hilos 2 Cores,2600 Hilos 4 Cores,2600 Hilos 8 Cores,,2800 Hilos 1 Core,2800 Hilos 2 Cores,2800 Hilos 4 Cores,2800 Hilos 8 Cores,,3000 Hilos 1 Core,3000 Hilos 2 Cores,3000 Hilos 4 Cores,3000 Hilos 8 Cores,,3200 Hilos 1 Core,3200 Hilos 2 Cores,3200 Hilos 4 Cores,3200 Hilos 8 Cores
4548645,2683151,1577567,965116,7517756,3886072,2192454,1266119,12698253,6599322,4281715,2209851,20345424,5752897,3578659,2246934,16977553,8335311,4613626,3843154,21999710,11350729,6782928,4859426,30946205,17238173,9778692,6839770,42638960,22594055,29685776,15766666,107235235,32109577,16255612,10464069,71585424,37062052,21756315,14052239,,89117544,59843332,35657564,23166080,,148834623,72166051,34576690,21029973,,140807565,71031065,46376350,32705191
4282841,2533949,1558568,1475563,7948149,4629553,2055217,1212034,13592693,6916401,3620393,1876982,20696330,5949638,3718061,1964733,16934005,11573621,5270388,3822424,20564256,11959212,7410932,5100110,31265565,16886633,10086292,7368354,41813902,23249948,27785369,15984337,106141259,31308298,16458433,10917595,73041581,36773059,21563764,13903416,,90593356,60112516,36444638,23744201,,151545154,75535600,33086394,21399906,,142262427,71036433,46400030,32596185
3964569,2436184,1508628,983326,8215822,4296158,1886991,1183526,13182988,7331381,4136757,2600679,21260311,6168181,3839961,2714363,16867693,8747440,4818893,3832866,22080936,12604135,6847685,4564753,31700920,17172870,9405774,6690110,42033283,21518395,28146507,14992713,107208051,30756627,16573474,11581588,74187920,37083368,21923004,15053098,,91745326,58603275,36374026,23956182,,151253381,74847619,32614048,24061638,,146325309,70875254,46499024,32346790
4618298,2272009,1644110,517246,7693307,3928005,2749272,1136356,12934006,6878345,3648114,2251424,21459257,5458235,4078934,2464595,16871984,8767311,5396825,3865341,21755084,12280171,7360316,4820419,30962854,16493085,9887339,7023286,40756185,22582350,28312336,15186050,107031098,30465990,16765296,11101256,75212252,37985734,21919104,13642107,,90909418,59332585,39298495,22972204,,150130286,74490426,33705128,22537048,,141464711,71370166,51264066,32066070
4362635,2122901,1630261,1025251,8071445,4528163,2591045,1114457,13833671,7375160,3905309,1916379,21066646,5680154,3225019,2196375,16943774,8973309,5118846,3858603,22095705,11955512,7086162,5089825,33129431,16825932,10349919,7745071,41705777,21677958,28970581,15414077,103689958,29808783,17113434,10955522,74916554,36558311,21779765,14206197,,93319617,58228886,34179936,22682434,,151595963,74267347,33553567,23110799,,140094565,73302115,45869899,31553015
4171933,1987267,1659488,545644,7485564,4234629,2548868,1075100,13424934,7013607,4312068,2549802,20342776,5957274,3520473,1992833,16493967,8967513,4882092,3870741,21809225,12898048,6591652,4339491,30749631,17806729,9608931,7171021,43148008,22577444,28525717,16046539,104688290,29951046,16064572,12167054,76173649,40375471,21707479,13940226,,108398615,58905140,34879535,23715236,,150515374,63289725,33517691,23920210,,144090854,71110161,47225806,31624144
3919284,1872102,1662381,1076188,8128612,3889207,2409575,1037147,12842507,6563268,3717099,2212520,20493707,6243503,3688862,1785624,16110393,9043167,5537882,3856951,22145734,12243448,7270485,4661012,31304491,17105058,10090862,6646690,41587518,22090128,28713556,15909917,105616870,30385033,15720633,11036226,76373342,37697991,22204004,14595631,,116951140,60365336,35880327,23497231,,144860601,58608776,34450912,23266906,,145215789,71286340,46270161,32407735
4675978,2806941,1640202,593961,7632996,4594660,2351844,983859,13729774,6970761,4092636,1865287,20685824,5583776,3921911,2691859,16100717,8184574,5156517,3814161,21563046,12098571,6799403,5027920,31767417,16121554,9879857,7002928,42222376,21601769,29078301,16198334,107478637,29774994,16756636,10631434,75848989,37550194,20979635,14048168,,114048354,60122941,36975417,23946447,,152731964,60133335,33331808,22726307,,140146841,72578008,46876916,32302507
4404424,2752977,1594078,1104252,7920760,4245924,2191093,935560,13514428,7322676,3740875,2574364,20834204,5827243,3944192,2446886,15736848,8283079,4872948,4119248,22074825,11782789,8353698,4451080,33072969,16546708,10209955,6386644,41239025,22674174,28660794,15495334,104605786,30060348,16838298,11439003,76061319,36600203,20923888,13780597,,115544499,59151601,35107983,23898859,,141450774,64109283,34217582,22990807,,138537679,73471162,46447508,32152709
4046908,2655822,1581886,627081,8543590,3857139,2037694,1891113,13234104,6860504,4257378,2226143,20805987,6723134,3909615,2283600,16357131,8419271,5640248,3077592,21348089,12615819,7899929,4952093,30466409,16859629,9543340,6539670,42731531,23747644,30102579,16110006,105162708,29049955,16541948,11081620,85683403,36698330,22259756,14611586,,116040398,58042379,35691601,24362792,,150884182,62388208,32974152,22525339,,136784592,72618116,46760488,32094921
