800 Hilos 1 Core,800 Hilos 2 Cores,800 Hilos 4 Cores,800 Hilos 8 Cores,1000 Hilos 1 Core,1000 Hilos 2 Cores,1000 Hilos 4 Cores,1000 Hilos 8 Cores,1200 Hilos 1 Core,1200 Hilos 2 Cores,1200 Hilos 4 Cores,1200 Hilos 8 Cores,1400 Hilos 1 Core,1400 Hilos 2 Cores,1400 Hilos 4 Cores,1400 Hilos 8 Cores,1600 Hilos 1 Core,1600 Hilos 2 Cores,1600 Hilos 4 Cores,1600 Hilos 8 Cores,1800 Hilos 1 Core,1800 Hilos 2 Cores,1800 Hilos 4 Cores,1800 Hilos 8 Cores,2000 Hilos 1 Core,2000 Hilos 2 Cores,2000 Hilos 4 Cores,2000 Hilos 8 Cores,2200 Hilos 1 Core,2200 Hilos 2 Cores,2200 Hilos 4 Cores,2200 Hilos 8 Cores,2400 Hilos 1 Core,2400 Hilos 2 Cores,2400 Hilos 4 Cores,2400 Hilos 8 Cores,2600 Hilos 1 Core,2600 Hilos 2 Cores,2600 Hilos 4 Cores,2600 Hilos 8 Cores,2800 Hilos 1 Core,2800 Hilos 2 Cores,2800 Hilos 4 Cores,2800 Hilos 8 Cores,3000 Hilos 1 Core,3000 Hilos 2 Cores,3000 Hilos 4 Cores,3000 Hilos 8 Cores,3200 Hilos 1 Core,3200 Hilos 2 Cores,3200 Hilos 4 Cores,3200 Hilos 8 Cores
2553475,1752321,1101087,823996,4044305,2670641,1291682,1814122,7185290,4277293,2639516,3258065,11822589,5784011,6897787,6384292,21938480,11475197,11678784,10035515,33522718,15049454,9593168,12335524,55305016,25758784,15096276,16583270,54761191,42254526,22994795,23637759,69896702,60595830,31678466,32307187,98832804,80294423,44518210,42324163,127189172,112480528,60324075,53139740,175590994,137984132,81074017,67364834,259425781,239493830,130160859,117154270
2210196,1662140,710951,1542749,3627537,2578171,1621314,2234443,6690649,3574794,2622258,2681717,12204893,6112386,10632641,6481349,21201856,11308185,9376850,8434727,32550769,18057328,9410276,12469053,52290059,29931885,15852182,17626574,63743690,43407167,23007865,24307816,67026543,58123748,32957562,32429563,98353623,80550108,44441776,42185863,127491258,112606176,62349758,53100484,174000546,134856341,89140792,67338875,261321549,238240646,128259648,117167449
1788693,1636944,1280509,1089631,4160050,2532234,1936022,1726845,7870054,4012786,2672289,3199223,11148953,5363084,10790982,6456221,21490625,11809468,9146159,8931487,31553767,18947393,10352698,12490631,51799222,28751724,15953414,17544575,52981213,40314874,26533705,23978831,66933306,53838728,32240047,33564311,98744599,81772690,47436239,41714377,128064092,112918582,60074010,53513473,175409948,139898800,86730398,67294396,257519775,233822921,131235301,117821016
2366873,1562059,925405,715278,3692956,2501059,2250393,2074076,7592213,3373057,2767586,2622202,11231638,6158976,9706787,6510261,22310209,17556906,9687396,8539121,41387164,18174339,9356387,12832350,45787591,28933470,14541269,17498905,52195312,41707308,24642604,23838306,67307196,61109897,33895686,32673798,98502727,78801443,47623450,42707003,127318503,113355243,61478224,54186249,175583407,144221241,88070466,67421864,263159372,225248884,128733369,117756091
1945503,1462308,1541959,1280077,4628238,2471573,1657252,1447430,7329060,4001431,2927791,3094094,10803383,6936178,8480373,6597110,22233683,11172572,10149084,9226615,49371484,18937380,9156118,13655789,47501313,27495206,15941410,17447116,52177923,42097879,25813297,24572385,67767909,60552419,33844504,32827283,98385094,82110145,48017942,42598240,127920057,109733018,65178446,55110842,178258627,141568236,88049375,67712871,251153260,228947222,130110843,116816549
2539716,1512073,1160756,827767,4763477,2426852,2001453,1927009,7914089,3376918,3203644,2581589,11973384,11999286,6703160,6781236,24964595,9863861,9084949,8738736,33054941,19071080,9584231,12857452,47624210,28177355,15421054,17351700,52803212,39877994,24103733,24336247,69069334,55235368,35265508,33012358,98779934,81697011,47626138,42425994,127161507,109001502,64967623,55276531,175536852,141941765,86996340,68329584,263835687,239836497,133394950,123854918
2134258,1432188,720902,1488478,4668311,2397309,1347881,1482605,9658726,3752724,2476345,3116128,10363082,8000422,9869719,7003804,24594913,10391977,8913474,9473324,29330052,17938545,9904078,13456435,60525515,30122316,15991746,17254234,53107829,43921801,23898077,24020300,66340848,60049695,36593937,32338017,98137712,80985626,48463394,42053005,126740721,112336918,64840788,57498261,174646385,136723193,88278425,67755397,253789292,235481416,130732785,116909281
1728690,1332138,1324639,1084697,4505977,2351382,1645664,3782799,10995340,4192439,2806163,2619613,11464031,14188910,9863473,6432450,20368146,13906031,9761930,9539516,28034064,16873392,9925070,12284497,51767553,28009298,15517444,17154092,51840467,37796072,24547836,24664829,66755895,60113525,36123084,32841273,97443438,82623293,47780161,41815458,128640958,111394641,66289784,57252951,174563045,137082944,91844517,68203498,254544433,240534615,142877698,115652473
2386956,1342450,865630,665788,4322525,2291395,2131117,2721579,8617969,3615187,3151168,3170230,11894860,17125020,8145329,6656792,22557611,15023488,8741502,9401365,30702204,19216825,12011763,12304550,50776446,29423658,16511360,17151429,53126234,42240242,24072972,24365748,68092980,58241587,34810610,33155799,98357792,80573995,48896353,43652211,127476988,110337681,64322978,56934041,173626111,137024944,87856997,68271518,257032196,235373094,129611791,117990900
2012665,1296975,1430986,1386783,4193005,2261095,1475929,2502663,7849229,4102272,2668171,2656845,12310170,8255395,6917520,6932572,23631709,11870808,9792217,9031201,43003082,18810691,12494594,12088324,49658278,30089792,15958074,17115868,52596900,42258357,25176827,24113062,65928687,55823205,36533621,32679310,99391086,85302583,46668891,42367870,127085087,116356591,64394117,54170322,167073173,137615628,88383234,67695709,249776932,226698245,133829517,119256124
